term_id,preferred_label,definition,source_ontology,dominant_physical_phase,is_water_based,concert_unit_route,review_status
AMH:0000001,plasma,Blood plasma used as an analytical matrix.,AMH,liquid,TRUE,aqueous,reviewed
AMH:0000002,serum,Blood serum used as an analytical matrix.,AMH,liquid,TRUE,aqueous,reviewed
AMH:0000003,leachate,A liquid that has percolated through or drained from another material.,AMH,liquid,TRUE,aqueous,reviewed
AMH:0000004,freshwater sediment,Sediment collected from a freshwater environment.,AMH,solid,FALSE,solid,reviewed
AMH:0000005,marine sediment,Sediment collected from a marine environment.,AMH,solid,FALSE,solid,reviewed
AMH:0000006,non-aqueous liquid,A liquid analytical matrix whose primary phase is not water.,AMH,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000007,dmso,Dimethyl sulfoxide used as an analytical matrix or vehicle.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000008,acetone,Acetone used as an analytical matrix or vehicle.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000009,ethanol,Ethanol used as an analytical matrix or vehicle.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000010,methanol,Methanol used as an analytical matrix or vehicle.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000011,corn oil,Corn oil used as an analytical matrix or vehicle.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000012,olive oil,Olive oil used as an analytical matrix or vehicle.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000013,propylene glycol,Propylene glycol used as an analytical matrix or vehicle.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000014,gasoline,A petroleum-derived fuel used as an analytical matrix.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000015,mud,A naturally mixed water and fine mineral or organic solid material treated as one matrix.,AMH,solid,FALSE,solid,reviewed
AMH:0000016,emulsion,A liquid mixture in which droplets of one liquid are dispersed in another.,AMH,liquid,FALSE,__ENVHARMONIZER_MISSING__,reviewed
AMH:0000017,distilled water,Water purified by distillation.,AMH,liquid,TRUE,aqueous,reviewed
AMH:0000018,deionized water,Water from which ions have been removed.,AMH,liquid,TRUE,aqueous,reviewed
AMH:0000019,milli-q water,Ultrapure laboratory water described by the reported Milli-Q designation.,AMH,liquid,TRUE,aqueous,reviewed
AMH:0000020,runoff,Water flowing over land after precipitation or release.,AMH,liquid,TRUE,aqueous,reviewed
