term,canonical_media,canonical_term,term_id,parent_id,preferred_label,rank,definition,envo_id,physical_phase,physical_state,is_water_based,concert_unit_route,media_category,source,assertion_mode,confidence_tier,confidence,active
absinthe,absinthe,absinthe,FOODON:00003229,FOODON:00001817,absinthe,canonical,"A distilled, highly alcoholic beverage (45–74% ABV / 90–148 U.S. proof). It is an anise-flavoured spirit derived from botanicals, including the flowers and leaves of Artemisia absinthium (""grand wormwood""), together with green anise, sweet fennel, and other medicinal and culinary herbs.",__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
acetone,acetone,acetone,AMH:0000008,AMH:0000006,acetone,canonical,Acetone used as an analytical matrix or vehicle.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
aerosol,aerosol,aerosol,AMH:0000025,ENVO:00010483,aerosol,canonical,An aerosol analyzed through a gas-route compatibility workflow.,__ENVHARMONIZER_MISSING__,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
air,air,air,ENVO:00002005,ENVO:01000797,air,canonical,"The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.",ENVO:00002005,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
ambient air,ambient air,ambient air,ENVO:00002005,ENVO:01000797,air,canonical,"The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.",ENVO:00002005,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
animal feed,feed,feed,AMH:0000032,ENVO:00010483,food,alias,Food or feed material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
animal tissue,tissue,tissue,AMH:0000031,AMH:0000050,tissue,alias,Animal or plant tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
animal tissues,tissue,tissue,AMH:0000031,AMH:0000050,tissue,alias,Animal or plant tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
apples,apple,apple,FOODON:00002473,FOODON:03310788,apple,alias,A pome fruit of an apple tree (Malus domestica).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
aqueous,aqueous,aqueous,ENVO:00002006,ENVO:01000815,liquid water,canonical,An environmental material primarily composed of dihydrogen oxide in its liquid form.,ENVO:00002006,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
atmospheric,air,air,ENVO:00002005,ENVO:01000797,air,alias,"The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.",ENVO:00002005,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
avocados,avocado,avocado,FOODON:00003600,FOODON:00001625,avocado,alias,A berry fruit of an avocado plant (Persea americana),__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
baby food,baby food,baby food,FOODON:03317423,FOODON:00002147,food for infants or young children,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
barley,barley,barley,FOODON:00003108,FOODON:00003394,barley seed (raw),canonical,"Barley is a cultivated grain used as animal fodder, as a source of fermentable material for beer and certain distilled beverages, and as a component of various health foods. It is used in soups and stews, and in barley bread of various cultures. Barley grains are commonly made into malt in a traditional and ancient method of preparation.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
bee pollen,bee pollen,bee pollen,FOODON:03301424,FOODON:00001218,bee pollen,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
beer,beer,beer,FOODON:00001260,FOODON:00001102,beer beverage,canonical,"Beer is a fermented cereal beverage resulting from the fermentation most commonly of malted barley (though wheat, corn, or rice may included), by a yeast, most commonly Saccharomyces cerevisiae, and flavored by dried flowers of hops, Humulus lupulus.",__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
beeswax,beeswax,beeswax,FOODON:03302072,FOODON:00001177,beeswax,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
biodiesel,fuel,fuel,AMH:0000038,AMH:0000006,fuel,alias,A refined petroleum or biofuel liquid used as an analytical matrix.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
biological fluid,biological fluid,biological fluid,AMH:0000028,ENVO:02000020,biological fluid,canonical,A water-based fluid derived from an organism and used as an analytical matrix.,ENVO:02000020,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
biosolids,sludge,sludge,ENVO:00002044,ENVO:0010001,sludge,alias,"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.",ENVO:00002044,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
biota,biota,biota,ENVO:06105012,AMH:0000050,biota,canonical,"A collection of organisms which inhabits the same region, ecosystem, or time period.",ENVO:06105012,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
black pepper,black pepper,black pepper,FOODON:03000242,FOODON:00001650,black pepper (whole or pieces),canonical,A whole black pepper or some substance made from processed black pepper.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
black tea,tea,tea,FOODON:03315081,FOODON:00001138,tea food product,alias,"An aromatic beverage commonly prepared by pouring hot or boiling water over cured leaves of the Camellia sinensis, an evergreen shrub (bush) native to East Asia.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
blood,blood,blood,ENVO:02000020,ENVO:02000019,blood material,canonical,"A bodily fluid material which is composed primarily of blood, a bodily fluid composed of blood plasma and blood cells suspended within the plasma that circulates around the organism's body. Blood performs may important functions including the supplying of oxygen and nutrients, removal of waste, circulation of white blood cells, detection of antibodes, coagulation, transportation of antibodies and the regulation of pH and body temperature.",ENVO:02000020,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
bodily fluids,biological fluid,biological fluid,AMH:0000028,ENVO:02000020,biological fluid,alias,A water-based fluid derived from an organism and used as an analytical matrix.,ENVO:02000020,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
brain,brain,brain,AMH:0000040,AMH:0000031,brain,canonical,Brain tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
bread,bread,bread,FOODON:03000288,FOODON:00001183,bread,canonical,"A food prepared from a dough of flour and water, usually by baking.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
breath,vapor,vapor,AMH:0000024,ENVO:00010483,vapor,alias,A gas-phase analytical matrix reported as vapor.,__ENVHARMONIZER_MISSING__,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
broccoli,broccoli,broccoli,FOODON:00003405,FOODON:00001666,broccoli floret,canonical,A raceme inflorescence of a broccoli plant(Brassica oleracea var. italica).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
brown rice,rice,rice,FOODON:00004327,FOODON:03301641,rice,alias,An aggregate of rice kernels.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
buckwheat flour,buckwheat flour,buckwheat flour,FOODON:03309980,FOODON:03305367,buckwheat flour,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
